burn,clip,block,co2,ch4,date
Burn,Cut,B1R2,1.722,0.1,7/5/19
Burn,Cut,B1R2,1.643,0.117,7/7/19
Burn,Cut,B1R2,1.64,0.102,7/8/19
Burn,Cut,B1R2,1.756,0.1,7/9/19
Burn,Cut,B2R2,-0.231,0.265,7/5/19
Burn,Cut,B2R2,1.111,0.337,7/7/19
Burn,Cut,B2R2,-0.102,0.281,7/8/19
Burn,Cut,B2R2,-1.475,0.259,7/9/19
Burn,Cut,B3R1,1.329,0.233,7/5/19
Burn,Cut,B3R1,2.206,0.303,7/7/19
Burn,Cut,B3R1,1.866,0.35,7/8/19
Burn,Cut,B3R1,1.442,0.357,7/9/19
Burn,CV,B1R3,-0.137,0.14,7/5/19
Burn,CV,B1R3,1.988,0.26,7/7/19
Burn,CV,B1R3,1.825,0.172,7/8/19
Burn,CV,B1R3,1.375,0.141,7/9/19
Burn,CV,B2R3,1.323,0.28,7/5/19
Burn,CV,B2R3,1.889,0.319,7/7/19
Burn,CV,B2R3,1.742,0.356,7/8/19
Burn,CV,B2R3,-0.11,0.252,7/9/19
Burn,CV,B3R2,2.456,0.2,7/5/19
Burn,CV,B3R2,0.196,0.196,7/7/19
Burn,CV,B3R2,2.436,0.188,7/8/19
Burn,CV,B3R2,1.901,0.177,7/9/19
Burn,Uncut,B1R1,-3.716,0.153,7/5/19
Burn,Uncut,B1R1,0.543,0.713,7/7/19
Burn,Uncut,B1R1,-2.127,0.242,7/8/19
Burn,Uncut,B1R1,-3.671,0.523,7/9/19
Burn,Uncut,B2R1,-4.661,0.354,7/5/19
Burn,Uncut,B2R1,-5.441,0.311,7/7/19
Burn,Uncut,B2R1,-3.759,0.391,7/8/19
Burn,Uncut,B2R1,-4.721,0.404,7/9/19
Burn,Uncut,B3R3,-3.094,0.193,7/5/19
Burn,Uncut,B3R3,-0.916,0.185,7/7/19
Burn,Uncut,B3R3,-0.844,0.236,7/8/19
Burn,Uncut,B3R3,,0.066,7/9/19
Unburn,Cut,B4R2,-0.303,0.104,7/3/19
Unburn,Cut,B4R2,-0.409,0.102,7/5/19
Unburn,Cut,B4R2,1.721,0.201,7/7/19
Unburn,Cut,B4R2,0.154,0.143,7/8/19
Unburn,Cut,B4R2,0.491,0.12,7/9/19
Unburn,Cut,B5R2,0.22,0.24,7/3/19
Unburn,Cut,B5R2,0.758,0.177,7/5/19
Unburn,Cut,B5R2,2.397,0.475,7/7/19
Unburn,Cut,B5R2,1.977,0.282,7/8/19
Unburn,Cut,B5R2,2.058,0.481,7/9/19
Unburn,Cut,B6R2,0.729,0.253,7/3/19
Unburn,Cut,B6R2,0.049,0.273,7/5/19
Unburn,Cut,B6R2,3.221,0.535,7/7/19
Unburn,Cut,B6R2,1.585,0.541,7/8/19
Unburn,Cut,B6R2,1.628,0.766,7/9/19
Unburn,CV,B4R1,0.371,0.147,7/3/19
Unburn,CV,B4R1,0.506,0.173,7/5/19
Unburn,CV,B4R1,2.262,0.267,7/7/19
Unburn,CV,B4R1,0.766,0.185,7/8/19
Unburn,CV,B4R1,1.644,0.237,7/9/19
Unburn,CV,B5R3,0.145,0.151,7/3/19
Unburn,CV,B5R3,0.277,0.112,7/5/19
Unburn,CV,B5R3,0.868,0.19,7/8/19
Unburn,CV,B5R3,2.264,0.199,7/9/19
Unburn,CV,B6R3,-0.119,0.246,7/3/19
Unburn,CV,B6R3,-0.299,0.227,7/5/19
Unburn,CV,B6R3,1.771,0.328,7/7/19
Unburn,CV,B6R3,-0.109,0.284,7/8/19
Unburn,CV,B6R3,-0.06,0.329,7/9/19
Unburn,Uncut,B4R3,-1.903,0.559,7/3/19
Unburn,Uncut,B4R3,-3.371,0.252,7/5/19
Unburn,Uncut,B4R3,0.241,0.254,7/7/19
Unburn,Uncut,B4R3,-2.005,0.253,7/8/19
Unburn,Uncut,B4R3,-0.223,0.37,7/9/19
Unburn,Uncut,B5R1,-3.707,0.165,7/3/19
Unburn,Uncut,B5R1,-3.675,0.137,7/5/19
Unburn,Uncut,B5R1,-1.085,0.177,7/7/19
Unburn,Uncut,B5R1,-2.116,0.19,7/8/19
Unburn,Uncut,B5R1,-2.315,0.206,7/9/19
Unburn,Uncut,B6R1,-3.118,0.353,7/3/19
Unburn,Uncut,B6R1,-4.482,0.427,7/5/19
Unburn,Uncut,B6R1,1.382,0.359,7/7/19
Unburn,Uncut,B6R1,-3.312,0.314,7/8/19
Unburn,Uncut,B6R1,-3.509,0.36,7/9/19